3168.75289042	3.77250430512e-06	1.85264205986e-07    2.92064699197e-06	1.54211968657e-07    0.01
5015.76570946	1.19479254566e-06	6.37857401655e-08    9.86090177707e-07	4.53348367582e-08    0.01
7965.44121119	3.75946456845e-07	2.00904390422e-08    3.46950701077e-07	1.64992896588e-08    0.01
12484.747598	1.18293337706e-07	9.10929455972e-09    1.14263488869e-07	6.42951139646e-09    0.01
19955.2473768	3.1610953982e-08	3.54329329719e-09    3.50280928097e-08	2.44726511055e-09    0.01
31586.3741037	9.52169914396e-09	1.47948253566e-09    1.19541635442e-08	1.12667351836e-09    0.01
50158.0381345	2.5673071933e-09	6.21161450956e-10    2.85195735685e-09	4.3357313483e-10	0.01
79418.4452388	1.09582398494e-09	3.30074571257e-10    1.44962717749e-09	2.55615919992e-10    0.01
126543.83432	3.26402588987e-10	1.451181298e-10	     3.0393258404e-10	9.49117092373e-11    0.01
199499.422112	3.2791145185e-11	3.27344160417e-11    4.96369467281e-11	3.50209354091e-11    0.01
