56.2341430051	0.331130604417	    0.0221649	0.01	0.0731038	0.149145
82.5404321838	0.116823506042	    0.0302903	0.01	0.0731038	0.149145
121.152785936	0.0412209767477	    0.038884	0.01	0.0731038	0.123872
177.827974629	0.0145470978264	    0.0509788	0.01	0.0731038	0.123872
261.015779874	0.00512566281475	0.0678135	0.01	0.0731038	0.123872
383.118779066	0.00181113479325	0.0933018	0.01	0.0731038	0.101213
562.341462808	0.000646201889803	0.122924    0.01	0.0731038	0.101213
825.404387352	0.000234134352318	0.166521	0.01	0.0736424	0.0919141
1211.52797779	8.6005951926e-05	0.220168	0.01	0.0807663	0.0977149
1778.27991429	3.17067806622e-05	0.296799	0.01	0.0812167	0.121228
2610.15796004	1.20167008288e-05	0.385137	0.01	0.0812167	0.121228
3831.18801574	4.63020349672e-06	0.494176	0.01	0.0841199	0.123192
5623.41505143	1.76431217899e-06	0.652663	0.01	0.0775961	0.118832
8254.04437081	6.65202876525e-07	0.859103	0.01	0.0775961	0.118832
12115.2801744	2.53171707423e-07	1.1031	    0.01	0.0634757	0.110132
17782.7994923	9.59625058634e-08	1.41916	    0.01	0.0665516	0.111934
26101.5805007	3.56723109412e-08	1.87615	    0.01	0.0665516	0.111934
38311.8806417	1.25219180658e-08	2.60497	    0.01	0.0665516	0.111934
56234.1491167	4.04067868264e-09	3.62888     0.01	0.0765122	0.118128
82540.4433311	1.35214545146e-09	5.03263	    0.01	0.0765122	0.142317
121152.802121	4.48770839027e-10	7.4611	    0.01	0.0708601	0.165895
177827.992128	1.58993576951e-10	9.9675	    0.01	0.0708601	0.165895
261015.804253	5.69943514915e-11	12.7838	    0.01	0.0708601	0.165895
383118.824905	2.06588703061e-11	17.373	    0.01	0.0708601	0.165895
