12.0709	0	0	0.0	 
17.7177	0	0	0.0	 
26.0061	3.55098	0.0030052	0.0	 
38.1717	0.632871	0.00023966	0.0	 
56.0284	0.193248	6.68193e-05	0.0	 
82.2384	0.111943	3.38991e-05	0.0	 
120.709	0.0423767	1.50141e-05	0.0	 
177.177	0.0141472	6.75164e-06	0.0	 
260.061	0.00485199	3.13138e-06	0.0	 
381.717	0.0017091	1.48896e-06	0.0	 
560.284	0.000615813	7.24562e-07	0.0	 
822.384	0.000223801	3.51355e-07	0.0	 
1207.09	8.18799e-05	1.71448e-07	0.0	 
1771.77	3.01424e-05	8.42293e-08	0.0	 
2600.61	1.12549e-05	4.06331e-08	0.0	 
3817.17	4.38158e-06	2.01771e-08	0.0	 
5602.84	1.67065e-06	1.00948e-08	0.0	 
8223.84	6.2055e-07	4.85167e-09	0.0	 
12070.9	2.37166e-07	2.46968e-09	0.0	 
17717.7	9.09115e-08	1.2103e-09	0.0	 
26006.1	3.38166e-08	5.91978e-10	0.0	 
38171.7	1.18608e-08	2.84254e-10	0.0	 
56028.4	3.86918e-09	1.28326e-10	0.0	 
82238.4	1.24873e-09	5.90571e-11	0.0	 
120709	4.08918e-10	2.78503e-11	0.0	 
177177	1.63934e-10	1.40842e-11	0.0	 
260061	5.94478e-11	7.2443e-12	0.0	 
381717	1.40924e-11	2.8209e-12	0.0	 
560284	4.47353e-12	1.35436e-12	0.0	 
822384	1.94308e-12	7.28389e-13	0.0	 
1.20709e+06	5.86255e-13	3.68349e-13	0.0	 
1.77177e+06	1.03787e-13	6.91712e-14	0.0	 
2.60061e+06	8.9365e-14	9.56279e-14	0.0	 
3.81717e+06	1.20168e-14	1.64915e-14	0.0	 
5.60284e+06	1.03078e-15	1.44192e-15	0.0	 
8.22384e+06	0	0	0.0	 
