56.0284	0.282162	4.17139e-05	0.0	 
82.2384	0.100519	1.82826e-05	0.0	 
120.709	0.035717	7.60623e-06	0.0	 
177.177	0.0129278	3.36646e-06	0.0	 
260.061	0.00483827	1.68358e-06	0.0	 
381.717	0.00175367	8.84573e-07	0.0	 
560.284	0.000623565	3.90684e-07	0.0	 
822.384	0.000223973	2.11878e-07	0.0	 
1207.09	8.18491e-05	1.06429e-07	0.0	 
1771.77	3.03621e-05	4.6933e-08	0.0	 
2600.61	1.14441e-05	2.34224e-08	0.0	 
3817.17	4.3822e-06	1.15112e-08	0.0	 
5602.84	1.66503e-06	5.60287e-09	0.0	 
8223.84	6.27583e-07	2.66399e-09	0.0	 
12070.9	2.39125e-07	1.36496e-09	0.0	 
17717.7	9.09083e-08	7.42009e-10	0.0	 
26006.1	3.3467e-08	3.23644e-10	0.0	 
38171.7	1.17666e-08	1.65498e-10	0.0	 
56028.4	3.95613e-09	8.19512e-11	0.0	 
82238.4	1.30737e-09	3.35566e-11	0.0	 
120709	4.42446e-10	1.68349e-11	0.0	 
177177	1.61405e-10	7.87365e-12	0.0	 
260061	5.7668e-11	3.69899e-12	0.0	 
381717	1.87961e-11	1.97084e-12	0.0	 
560284	6.38122e-12	1.00021e-12	0.0	 
822384	2.22381e-12	4.54717e-13	0.0	 
