#DAMPE_results
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up 
1.21152762523	1.0	1.46779918671	0.0	0.0	0.0	0.00	0.00	0.0	0.0
1.77827935727	1.46779918671	2.15443468094	0.0	0.0	0.0	0.00	0.00	0.0	0.0
2.610157226	2.15443468094	3.16227769852	0.0	0.0	0.0	0.00	0.00	0.0	0.0
3.83118681265	3.16227769852	4.6415886879	0.0	0.0	0.0	0.00	0.00	0.0	0.0
5.62341291723	4.6415886879	6.81292009354	0.0	0.0	0.0	0.00	0.00	0.0	0.0
8.25404070385	6.81292009354	9.99999809265	0.0	0.0	0.0	0.00	0.00	0.0	0.0
12.1152743098	9.99999809265	14.6779899597	0.0	0.0	0.0	0.00	0.00	0.0	0.0
17.7827904494	14.6779899597	21.544342041	0.0	0.0	0.0	0.00	0.00	0.0	0.0
26.1015666164	21.544342041	31.6227703094	1.86137881142	0.000534133263593	0.000534133263593	0.00	0.00	0.000534133263593	0.000534133263593
38.3118621147	31.6227703094	46.4158821106	0.805036277342	0.000174755537416	0.000174755537416	0.00	0.00	0.000174755537416	0.000174755537416
56.2341243159	46.4158821106	68.129196167	0.32079476095	6.08150812422e-05	6.08150812422e-05	0.00	0.00	6.08150812422e-05	6.08150812422e-05
82.5404025756	68.129196167	99.9999771118	0.112853291591	2.24307250041e-05	2.24307250041e-05	0.00	0.00	2.24307250041e-05	2.24307250041e-05
121.152737638	99.9999771118	146.779891968	0.0398226936917	9.17534383541e-06	9.17534383541e-06	0.00	0.00	9.17534383541e-06	9.17534383541e-06
177.827893575	146.779891968	215.443405151	0.0140728094305	3.98140645032e-06	3.98140645032e-06	0.00	0.00	3.98140645032e-06	3.98140645032e-06
261.015652198	215.443405151	316.22769165	0.00495448850181	1.76959908602e-06	1.76959908602e-06	0.00	0.00	1.76959908602e-06	1.76959908602e-06
383.118598471	316.22769165	464.158782959	0.00175152578474	8.11939553648e-07	8.11939553648e-07	0.00	0.00	8.11939553648e-07	8.11939553648e-07
562.341232646	464.158782959	681.291992188	0.000625627123701	3.8258611497e-07	3.8258611497e-07	0.00	0.00	3.8258611497e-07	3.8258611497e-07
825.404113513	681.291992188	999.999938965	0.000226567600057	1.83205546157e-07	1.83205546157e-07	0.00	0.00	1.83205546157e-07	1.83205546157e-07
1211.52759141	999.999938965	1467.79919434	8.33311972514e-05	8.92662370784e-08	8.92662370784e-08	0.00	0.00	8.92662370784e-08	8.92662370784e-08
1778.27931624	1467.79919434	2154.43457031	3.07636594695e-05	4.34740966379e-08	4.34740966379e-08	0.00	0.00	4.34740966379e-08	4.34740966379e-08
2610.15721409	2154.43457031	3162.27783203	1.16709389492e-05	2.15988559244e-08	2.15988559244e-08	0.00	0.00	2.15988559244e-08	2.15988559244e-08
3831.18716904	3162.27783203	4641.58935547	4.49163151531e-06	1.08227030065e-08	1.08227030065e-08	0.00	0.00	1.08227030065e-08	1.08227030065e-08
5623.41385532	4641.58935547	6812.92138672	1.7103808969e-06	5.39542664604e-09	5.39542664604e-09	0.00	0.00	5.39542664604e-09	5.39542664604e-09
8254.04267741	6812.92138672	10000.0009766	6.45200775447e-07	2.65088330997e-09	2.65088330997e-09	0.00	0.00	2.65088330997e-09	2.65088330997e-09
12115.2781852	10000.0009766	14677.9951172	2.45910925803e-07	1.32408840802e-09	1.32408840802e-09	0.00	0.00	1.32408840802e-09	1.32408840802e-09
17782.7966971	14677.9951172	21544.3496094	9.31855438219e-08	6.57327303394e-10	6.57327303394e-10	0.00	0.00	6.57327303394e-10	6.57327303394e-10
26101.5765223	21544.3496094	31622.7832031	3.45864269296e-08	3.25032676711e-10	3.25032676711e-10	0.00	0.00	3.25032676711e-10	3.25032676711e-10
38311.8798876	31622.7832031	46415.90625	1.20753335516e-08	1.53778355532e-10	1.53778355532e-10	0.00	0.00	1.53778355532e-10	1.53778355532e-10
56234.1547072	46415.90625	68129.234375	3.88119768505e-09	6.8398046093e-11	6.8398046093e-11	0.00	0.00	6.8398046093e-11	6.8398046093e-11
82540.4512878	68129.234375	100000.039062	1.30748539457e-09	3.20123302591e-11	3.20123302591e-11	0.00	0.00	3.20123302591e-11	3.20123302591e-11
121152.806854	100000.039062	146779.96875	4.32297868303e-10	1.53138814174e-11	1.53138814174e-11	0.00	0.00	1.53138814174e-11	1.53138814174e-11
177827.998576	146779.96875	215443.546875	1.54258629726e-10	7.54416011184e-12	7.54416011184e-12	0.00	0.00	7.54416011184e-12	7.54416011184e-12
261015.826615	215443.546875	316227.90625	5.48834746485e-11	3.62330775456e-12	3.62330775456e-12	0.00	0.00	3.62330775456e-12	3.62330775456e-12
383118.843835	316227.90625	464159.0625	1.9994567457e-11	1.90041412694e-12	1.90041412694e-12	0.00	0.00	1.90041412694e-12	1.90041412694e-12
562341.534175	464159.0625	681292.3125	5.61421339842e-12	8.00704126964e-13	8.00704126964e-13	0.00	0.00	8.00704126964e-13	8.00704126964e-13
825404.435912	681292.3125	1000000.25	1.45244455257e-12	3.55346728331e-13	3.55346728331e-13	0.00	0.00	3.55346728331e-13	3.55346728331e-13
